model_id,text_type,samples,cer_norm,cer_ci_low,cer_ci_high,character_accuracy,wer_norm,exact_norm,detection_recall_iou50,latency_median_sec,latency_p95_sec,vram_peak_gb,false_positive_rate
paddleocr_v5_mobile,dynamic_overlay,37,0.7002990385343327,0.5811038165266108,0.8246070151033384,0.2997009614656672,1.026126126126126,0.0,0.7567567567567568,0.0493682000014814,0.0599857799985329,1.2603416442871094,
paddleocr_v5_mobile,no_text,10,0.9,0.7,1.0,0.0999999999999999,0.9,0.1,0.0,0.0456744499988417,0.049844500000654,1.2603416442871094,0.9
paddleocr_v5_mobile,static_text,13,0.444125922386792,0.1679152731326644,0.7897005892658061,0.5558740776132081,0.7681318681318682,0.1538461538461538,0.9230769230769232,0.0527070999996794,0.0721803200009162,1.2603416442871094,
easyocr_det_vietocr,dynamic_overlay,37,0.5801584147172383,0.4651199702854114,0.7121794562419563,0.4198415852827617,0.8770270270270271,0.081081081081081,0.972972972972973,0.3431414999977278,0.5220682600003783,0.753654956817627,
easyocr_det_vietocr,no_text,10,0.8,0.5,1.0,0.1999999999999999,0.8,0.2,0.0,0.2377676500000234,0.3196300549996521,0.753654956817627,0.8
easyocr_det_vietocr,static_text,13,0.4877156659765355,0.0689779423475075,1.0869724478420129,0.5122843340234644,0.4,0.3846153846153846,1.0,0.4593213999978616,1.0615160600020312,0.753654956817627,
easyocr_vi_en,dynamic_overlay,37,0.5946693542281779,0.4851523345824817,0.7083548622151561,0.4053306457718221,0.8432432432432432,0.081081081081081,0.972972972972973,0.1889026000026206,0.2394300399988423,0.6111483573913574,
easyocr_vi_en,no_text,10,0.8,0.5,1.0,0.1999999999999999,0.8,0.2,0.0,0.1680129500000475,0.2128247849999751,0.6111483573913574,0.8
easyocr_vi_en,static_text,13,0.2400355682964378,0.1397429261559696,0.3469624276689493,0.7599644317035621,0.6637362637362637,0.1538461538461538,1.0,0.2013644999969983,0.3146815399988554,0.6111483573913574,
